(Intercept) as.factor(phenotypes$Age.x)1 as.factor(phenotypes$Age.x)2 as.factor(phenotypes$Age.x)3 as.factor(phenotypes$Age.x)4 as.factor(phenotypes$Age.x)5 as.factor(phenotypes$Age.x)6 as.factor(phenotypes$Age.x)7 as.factor(phenotypes$Age.x)8 as.factor(phenotypes$Age.x)9 as.factor(phenotypes$Age.x)10 as.factor(phenotypes$Age.y)3 as.factor(phenotypes$Age.y)4 as.factor(phenotypes$Age.y)5 as.factor(phenotypes$Age.y)6 as.factor(phenotypes$Age.y)7 as.factor(phenotypes$Age.y)8 as.factor(phenotypes$Age.y)9 as.factor(phenotypes$Gen.Line)RAMB as.factor(phenotypes$Gen.Line)UNKN as.factor(phenotypes$Management.Group)1 as.factor(phenotypes$Management.Group)2 as.factor(phenotypes$Lambs.Birthed.x)2 as.factor(phenotypes$Lambs.Birthed.x)3 as.factor(phenotypes$Lambs.Birthed.x)4 as.factor(phenotypes$Lambs.Birthed.y)2 as.factor(phenotypes$Lambs.Birthed.y)3
-0.1790943 0.6703118 0.245656 -0.2381349 0.04546869 0.1208562 -0.007938415 0.06957018 0.3440363 -0.1772344 -0.07950817 0.1201337 0.02325947 0.07122096 -1.215789 -0.6693616 1.74075 -0.9283895 0.4429668 0.09729239 1.257479 0.2277945 0.2209459 0.4384431 -0.2047866 0.08280432 0.7625687
-0.1321906 0.883604 0.01944651 -0.03650499 0.002142077 -0.1212142 -0.1020724 0.2336582 -0.04280146 -0.2408088 0.6901513 0.06493945 0.07287137 -0.1075841 -0.7553917 -0.7274043 -0.1417922 0.9393024 0.4278927 0.1483102 0.8449151 0.2555655 0.2561954 0.905261 0.6468998 0.1285524 0.5366885
-0.2835471 0.6167847 0.01036602 0.0670205 0.1012315 0.09790915 -0.1494379 0.2844635 -0.1487839 -0.06868196 -0.2570489 0.1547342 -0.2207271 -0.2405073 -0.5502106 -0.1685526 0.7767256 0.8659995 0.3650678 0.1751589 0.6120618 0.4762573 0.1724755 0.3841242 -0.1012939 0.01371855 0.3019646
-0.1054974 0.897242 0.1246098 0.004038354 0.2262252 0.07373517 0.02440721 0.402704 0.1950726 -0.5459406 -0.3161204 0.1258653 -0.2275255 -0.226602 -0.9656161 -0.2985987 0.1436446 2.483889 0.222853 -0.1060599 1.083134 0.4568608 0.1069848 0.616247 0.3657533 0.08046356 0.3441067
-0.08334119 0.389036 0.07787143 0.01052736 0.05083431 -0.07366387 -0.1141595 0.259957 -0.03308276 -0.2758528 0.5233867 0.08893024 -0.1805747 -0.3385335 -0.7624322 -1.492605 1.543255 1.038456 0.4577138 0.2087189 0.7753391 0.45043 0.1850243 0.4782338 0.5019432 0.003248578 -0.3097958
-0.05680917 -0.007166935 0.100167 0.002835626 0.02086804 0.0478807 -0.03733517 0.2872261 0.07956013 -0.1468932 -0.6056226 0.05314338 -0.3705098 -0.2366918 -0.5853069 -0.02452937 -1.001856 0.8478351 0.3856269 0.5333338 0.7552189 0.3593651 0.1853887 0.4849074 -0.2417479 -0.008256536 -0.3538094
0.0515437 0.3637433 0.01653659 -0.07038548 0.02443954 0.006034409 0.04327306 0.1042067 -0.04121037 -0.1386914 -0.98979 0.02929457 -0.1367031 -0.0926273 -0.479669 -0.8937401 -0.008208204 0.8012897 0.2328388 0.1627279 0.7246198 0.408712 0.3257596 0.2495215 0.04574003 -0.002562933 -0.2889742
0.1920123 0.03214458 -0.09347246 -0.2397124 -0.1563846 -0.1804857 -0.07655025 0.1295291 0.1272713 -0.2740143 0.1006427 0.1611306 -0.004702095 0.1356373 -0.2432426 0.1203532 0.3719643 2.136203 0.2945178 0.2606987 0.4961415 0.2453682 0.1920509 0.5616688 0.4191277 0.02774623 -0.155729
0.1803256 -0.9313431 -0.1398497 -0.2579659 -0.2186311 -0.2487253 -0.2557761 0.08811321 -0.1167674 -0.4795223 -0.5964883 0.2337897 0.2595755 0.4100596 -0.3230312 -0.6612325 -0.9761513 1.974497 0.4111176 0.09621698 0.845676 -0.0983259 0.1942458 0.5608146 0.334134 0.1690779 0.7436496
0.239723 -0.6066888 -0.1707653 -0.3969737 -0.3748034 -0.3179658 -0.5617665 0.03332853 0.1000276 -0.5001549 0.5476637 0.2198699 0.2104535 0.3647684 -0.5427048 0.1478897 1.132717 0.07650417 0.5474674 0.3113264 0.9450566 -0.04328218 0.1673983 0.6166975 0.831047 0.1196356 0.5920472
